document_control_number,total_release,medium
1315214280772,0,air
1321219702382,181,air
1322220766570,0,air
1316215655186,10,air
1320219034170,1802,air
1320218774786,339,air
1324222496301,0,air
1322220761365,0,air
1314215201803,0,air
1317216854048,0,air
1314212366660,0,air
1323221915655,0,air
1321223210131,10,air
1316215553850,0,air
1314213099637,859,air
1315214251946,4,air
1316215268929,0,air
1315214365114,2,air
1316215117211,430,air
1319217887456,0,air
1314212900082,0,air
1314212321855,0,air
1321219625365,23843,air
1324223159765,10,air
1319218072674,255,air
1316215745631,80206,air
1314212396358,0,air
1316215052770,0,air
1318216812824,306,air
1323221648367,486,air
1322220807337,0,air
1320220592493,1855,air
1320219337779,10,air
1324223030925,19927,air
1322220696797,941,air
1314211934310,9734,air
1324222560233,5,air
1319218044752,2772,air
1315215311008,19,air
1322221247745,661,air
1314212357216,3505,air
1324222579005,0,air
1315213207501,10,air
1316215460597,436,air
1315214371712,1,air
1314212322325,0,air
1321220007037,16474,air
1321220188344,128525,air
1320218750141,0,air
1315213896119,2621,air
1318217218674,0,air
1314212545432,0,air
1323221555004,2,air
1321220587012,0,air
1320219232535,250,air
1322221175615,201,air
1320219278684,5,air
1324222582443,0,air
1314212379818,7,air
1316215596356,5623,air
1323221734953,0,air
1321219509472,1907,air
1314212909321,0,air
1314212891143,1424,air
1316215127477,0,air
1320218999175,650,air
1316215231147,282,air
1320218684672,182,air
1321220522940,16,air
1324223044227,15292,air
1322221375759,4,air
1314213104856,5,air
1316215300916,0,air
1324222426862,343,air
1316215731213,2,air
1320218765903,15,air
1314213563719,500,air
1318217305705,16006,air
1319217705045,0,air
1316215046208,0,air
1317218160289,5,air
1319217629652,31,air
1319217738780,10,air
1319217710185,8,air
1314213022193,0,air
1324222711881,799,air
1314212312526,0,air
1314212423937,617,air
1314215788314,10705,air
1322220641334,0,air
1320218616009,0,air
1322220800825,0,air
1314212313872,55460,air
1314212804645,89,air
1323221677432,838,air
1315213940190,0,air
1319217707571,0,air
1322220666059,368,air
1324222413813,843,air
1322220697318,157,air
1316215559889,1,air
1316215713102,13,air
1317216566455,0,air
1318216958672,5,air
1319218238386,5700,air
1314212985992,1214,air
1320219089315,0,air
1314212980712,0,air
1321219602594,0,air
1316218617037,11200,air
1318216708026,20,air
1314212406250,4074,air
1323221987023,12,air
1317219298383,0,air
1321220642209,0,air
1314212442937,6,air
1320219275955,0,air
1322221016191,31,air
1319218192615,470,air
1321220153579,13456,air
1321219715707,0,air
1314212891117,0,air
1320219199662,0,air
1314212757278,521,air
1318217041589,0,air
1320219209715,0,air
1319218632230,0,air
1316215342813,37618,air
1322221032194,1822,air
1317215909553,0,air
1321220471674,0,air
1321220499469,5,air
1322221433105,659,air
1314212975926,318,air
1314213084205,20,air
1314212377624,291,air
1315215827635,11818,air
1315213926850,0,air
1320219382936,0,air
1317217672272,0,air
1316215584881,0,air
1322221058478,985,air
1324222938627,0,air
1321220593040,30,air
1318218071278,0,air
1321220041988,361,air
1315213701889,30035,air
1319218184000,39,air
1323222137756,178,air
1315214399851,33,air
1316214998142,6560,air
1317215909591,0,air
1316215711641,8600,air
1318217139385,1680,air
1324222776686,1269,air
1316215573015,5,air
1314212846493,16125,air
1319217841206,0,air
1316215370281,15,air
1314212345348,1010,air
1314212737581,0,air
1317218588705,35826,air
1323222364693,0,air
1318217457821,0,air
1321221498330,10,air
1315218598908,74650,air
1316215167812,32,air
1315213684638,0,air
1321219645518,0,air
1316215205384,4,air
1314212390429,312,air
1319218556761,78,air
1324222949923,43,air
1315214331340,6,air
1315214264362,21,air
1318221497973,2,air
1324222893137,0,air
1318216679264,0,air
1322220684967,3802,air
1317215947300,0,air
1315213673054,0,air
1315214371914,1302,air
1314212545331,295,air
1319218160339,5,air
1319218358442,0,air
1322221369085,1,air
1324222770859,997,air
1315214339145,36,air
1316215006230,1,air
1314212846772,1,air
1314212652933,43,air
1316215770431,6440,air
1315214291611,49,air
1314211925134,0,air
1318217108505,65639,air
1321221471927,1500,air
1314212684652,53,air
1323221530052,0,air
1322221062868,0,air
1322220898807,0,air
1324223018603,750,air
1322222381713,145,air
1321220116166,14,air
1322220636361,5,air
1323221539986,34,air
1314212558136,12637,air
1321220277432,0,air
1322220642060,1716,air
1323221626548,0,air
1314213627680,6,air
1317216421457,10,air
1321220471635,0,air
1318217316456,500,air
1317215828106,10357,air
1317215852031,5,air
1314212310748,0,air
1316215574359,0,air
1323222022434,0,air
1322220648125,2329,air
1324222514580,250,air
1321219630819,0,air
1321220303693,1,air
1318216947945,831,air
1318217187107,508,air
1318218367528,0,air
1320219244682,500,air
1322220776823,0,air
1314212782787,10558,air
1315213581337,11500,air
1324222469114,0,air
1324222681951,186,air
1323221623705,0,air
1319218138028,0,air
1322220898771,0,air
1322221467994,0,air
1315213995261,0,air
1319217984929,500,air
1324222878934,0,air
1322221071855,0,air
1321219860259,3,air
1322220933079,7383,air
1316215297298,515,air
1314212841795,10024,air
1319218089151,54586,air
1314212490647,2116,air
1319218115436,7642,air
1316215668094,650,air
1318217282363,0,air
1321219613837,35693,air
1322221113160,255,air
1317215899485,0,air
1321220660942,74299,air
1316215774884,0,air
1317216499982,382,air
1322220824419,148,air
1315213572100,1500,air
1324222559623,85,air
1323221560384,6680,air
1317216293872,350,air
1323222044149,4376,air
1324222940342,11000,air
1324223145513,0,air
1314212501011,154,air
1316215754250,250,air
1319217978079,333,air
1323221997378,1,air
1321219890365,43,air
1321220187367,0,air
1316218598922,350,air
1323222228025,164,air
1322221441254,0,air
1321219770765,0,air
