document_control_number,source_reduction_activity_code,estimated_annual_reduction_code,activity_number
1324222868186,S21,R6,1
1323221955255,S04,R3,1
1318216694265,W52,R4,1
1322220669131,S44,R5,1
1315213962374,W50,R6,1
1319217666662,W29,R6,1
1323221705748,S25,R2,1
1323221571110,S35,R6,1
1323221535127,S41,R6,1
1324222408674,S25,R5,1
1321220545368,S44,R6,1
1321220553174,S05,R6,1
1315214048225,W32,R5,1
1318217415999,W68,R4,1
1324222861611,S25,R3,1
1320218605780,W82,R4,1
1314212321816,W13,R6,1
1316215132147,W81,R5,1
1316215710815,W68,R6,1
1316215084536,W56,R3,1
1314212575219,W13,R4,1
1316218552572,W52,R5,1
1317216637835,W19,R2,1
1319217795184,W66,R3,1
1315214180376,W51,R6,1
1322221295797,S42,R6,1
1314212453587,W29,R3,1
1314212588812,W52,R5,1
1315213571817,W42,R5,1
1322220955304,S35,R6,1
1315214145435,W36,R3,1
1319218514507,W52,R2,1
1314212342137,W68,R6,1
1319217849987,W58,R4,1
1322220746325,S23,R2,1
1316215764352,W58,R6,1
1318217007386,W58,R3,1
1321220477362,S34,R6,1
1323221988660,S03,R3,1
1321219893563,S21,R6,1
1314212463867,W13,R6,1
1317216057012,W14,R6,1
1320218653640,W78,R6,1
1314212944464,W13,R5,1
1315216627947,W58,R2,1
1323222363071,S11,R6,1
1319217915317,W19,R1,1
1320219303219,W36,R5,1
1322220672493,S21,R5,1
1316215231111,W56,R3,1
1322221626753,S21,R5,1
1316215372121,W58,R3,1
1319218146191,W82,R2,1
1320219028267,W78,R4,1
1314212767949,W82,R6,1
1316215797008,W36,R5,1
1317216564791,W56,R6,1
1323221931672,S35,R4,1
1316215487253,W15,R6,1
1315214319410,W78,R6,1
1317216217707,W14,R5,1
1320218728398,W19,R5,1
1314212426338,W13,R6,1
1316215625880,W42,R2,1
1324222878946,S41,R5,1
1324222899561,S21,R5,1
1323223117108,S24,R4,1
1323222332049,S21,R5,1
1323221594017,S35,R3,1
1314212437798,W39,R6,1
1320218865689,W19,R6,1
1314212345779,W32,R6,1
1323222314801,S24,R4,1
1317215991795,W84,R2,1
1316215167848,W21,R4,1
1323221603804,S11,R2,1
1321219612177,S23,R6,1
1314211948740,W32,R6,1
1322220799908,S03,R3,1
1320218758023,W19,R6,1
1314212647717,W13,R6,1
1322220668545,S44,R6,1
1322220830792,S21,R6,1
1320218638599,W29,R2,1
1319217827930,W65,R6,1
1320219275892,W51,R5,1
1324222560258,S35,R5,1
1315214215598,W19,R6,1
1315213788476,W41,R2,1
1318216823690,W19,R2,1
1320219220276,W58,R6,1
1316215436268,W42,R6,1
1319217698416,W43,R1,1
1314213072655,W49,R3,1
1322221360858,S35,R6,1
1316215039138,W50,R5,1
1324222732339,S41,R6,1
1314212943397,W39,R6,1
1322220846810,S21,R5,1
1314212893705,W58,R2,1
1324223139306,S11,R1,1
1323221649460,S44,R6,1
1316215048430,W58,R2,1
1318217457858,W58,R5,1
1324222733572,S25,R3,1
1314212434714,W19,R6,1
1316214961652,W13,R5,1
1320219177108,W42,R5,1
1321219847934,S05,R6,1
1315213777042,W21,R5,1
1320218723512,W89,R6,1
1322220647907,S03,R2,1
1314212459440,W50,R5,1
1317216306744,W29,R6,1
1317218613711,W89,R6,1
1321219661055,S25,R2,1
1316215370317,W68,R6,1
1315214388910,W21,R6,1
1314212718910,W13,R2,1
1317217732395,W71,R2,1
1324223044633,S25,R3,1
1323221776875,S44,R6,1
1321219709375,S44,R6,1
1322220831616,S23,R3,1
1314212826046,W29,R5,1
1315213828751,W19,R2,1
1317215855521,W49,R6,1
1314212789503,W14,R6,1
1324222579815,S06,R6,1
